stringId_A,stringId_B,combined_score
ENSP00000211998,ENSP00000282588,0.8218000000000001
ENSP00000211998,ENSP00000342858,0.59632
ENSP00000211998,ENSP00000357883,0.9
ENSP00000211998,ENSP00000296181,0.8524672
ENSP00000211998,ENSP00000353408,0.6614635
ENSP00000211998,ENSP00000378332,0.567183
ENSP00000211998,ENSP00000379350,0.4953200000000001
ENSP00000211998,ENSP00000494750,0.91945
ENSP00000211998,ENSP00000458162,0.930392
ENSP00000211998,ENSP00000346839,0.48384759999999993
ENSP00000211998,ENSP00000261769,0.58
ENSP00000211998,ENSP00000495360,0.730601
ENSP00000211998,ENSP00000362680,0.4318000000000001
ENSP00000211998,ENSP00000358866,0.6844
ENSP00000211998,ENSP00000252699,0.9922912
ENSP00000211998,ENSP00000377941,0.9951336
ENSP00000212355,ENSP00000351905,0.6381
ENSP00000212355,ENSP00000238682,0.4336850000000001
ENSP00000212355,ENSP00000221930,0.701
ENSP00000215637,ENSP00000267082,0.9292
ENSP00000215637,ENSP00000380227,0.9626
ENSP00000215637,ENSP00000498227,0.9049
ENSP00000215886,ENSP00000392500,0.54
ENSP00000215886,ENSP00000215909,0.55932
ENSP00000215909,ENSP00000392500,0.54
ENSP00000215909,ENSP00000305988,0.522457
ENSP00000215909,ENSP00000357801,0.42389699999999997
ENSP00000215909,ENSP00000271638,0.487
ENSP00000215909,ENSP00000366109,0.43300000000000005
ENSP00000215909,ENSP00000346032,0.63844
ENSP00000216037,ENSP00000278572,0.8088000000000001
ENSP00000216241,ENSP00000422533,0.514
ENSP00000216336,ENSP00000391826,0.4
ENSP00000216336,ENSP00000376637,0.4336000000000001
ENSP00000216336,ENSP00000308938,0.4318000000000001
ENSP00000216336,ENSP00000250378,0.5067999999999999
ENSP00000216336,ENSP00000244336,0.5814280000000001
ENSP00000216336,ENSP00000296677,0.68611825
ENSP00000216336,ENSP00000321326,0.66785
ENSP00000216336,ENSP00000355627,0.77438125
ENSP00000216336,ENSP00000283752,0.9084155
ENSP00000216336,ENSP00000233997,0.777
ENSP00000216336,ENSP00000234347,0.8674000000000001
ENSP00000218388,ENSP00000228534,0.4
ENSP00000218388,ENSP00000356574,0.4516
ENSP00000218388,ENSP00000336829,0.4
ENSP00000218388,ENSP00000284981,0.4336000000000001
ENSP00000218388,ENSP00000360882,0.40882000000000007
ENSP00000218388,ENSP00000498441,0.4
ENSP00000218388,ENSP00000264657,0.5409999999999999
ENSP00000218388,ENSP00000221930,0.5227120000000001
ENSP00000218388,ENSP00000385675,0.4912000000000001
ENSP00000218388,ENSP00000346839,0.539848
ENSP00000218388,ENSP00000447730,0.833375
ENSP00000219022,ENSP00000244336,0.627
ENSP00000220772,ENSP00000434034,0.67345
ENSP00000220772,ENSP00000286201,0.7101999999999999
ENSP00000220772,ENSP00000285018,0.7319
ENSP00000220772,ENSP00000284523,0.7702
