Root,Dscore,Statistic,Pvalue,AdjPvalue
21,1,8.695,1.73e-18,9.85e-16
21,1,8.673,2.1e-18,1.2e-15
21,1,8.621,3.33e-18,1.9e-15
21,0.9959,8.575,4.94e-18,2.81e-15
21,1,8.472,1.21e-17,6.88e-15
21,0.9401,8.436,1.65e-17,9.37e-15
21,1,8.411,2.03e-17,1.15e-14
21,1,8.338,3.78e-17,2.15e-14
21,1,8.286,5.83e-17,3.32e-14
21,0.8927,8.277,6.32e-17,3.6e-14
21,0.8172,8.19,1.31e-16,7.46e-14
21,0.9385,8.031,4.84e-16,2.75e-13
21,0.8503,7.809,2.89e-15,1.64e-12
22,0.9465,8.398,2.27e-17,1.29e-14
22,0.9465,8.349,3.45e-17,1.96e-14
22,0.9075,8.305,5e-17,2.85e-14
22,0.9099,8.3,5.19e-17,2.95e-14
22,0.9465,8.186,1.35e-16,7.69e-14
22,0.9465,8.172,1.51e-16,8.61e-14
22,0.9465,8.075,3.36e-16,1.91e-13
22,0.9465,7.969,8e-16,4.55e-13
22,0.9075,7.87,1.78e-15,1.01e-12
22,0.9465,7.8,3.08e-15,1.75e-12
22,0.8497,7.689,7.44e-15,4.23e-12
22,0.7699,7.368,8.68e-14,4.94e-11
23,0.9205,8.363,3.06e-17,1.74e-14
23,0.9798,8.316,4.55e-17,2.59e-14
23,0.9285,8.304,5.03e-17,2.86e-14
23,0.892,8.294,5.46e-17,3.11e-14
23,0.903,8.228,9.51e-17,5.41e-14
23,0.864,8.205,1.16e-16,6.58e-14
23,0.9277,8.203,1.18e-16,6.69e-14
23,0.9464,8.171,1.52e-16,8.67e-14
23,0.9375,8.155,1.74e-16,9.91e-14
23,0.8873,8.131,2.13e-16,1.21e-13
23,0.892,8.073,3.43e-16,1.95e-13
23,0.8775,7.8,3.1e-15,1.76e-12
23,0.8774,7.769,3.95e-15,2.25e-12
23,0.8687,7.643,1.06e-14,6.03e-12
23,0.7595,7.454,4.51e-14,2.57e-11
23,0.7997,7.255,2.01e-13,1.14e-10
24,0.9754,8.731,1.27e-18,7.2e-16
24,0.9616,8.588,4.43e-18,2.52e-15
24,0.8983,8.502,9.35e-18,5.32e-15
24,0.9519,8.489,1.04e-17,5.94e-15
24,0.9821,8.468,1.25e-17,7.12e-15
24,0.9821,8.406,2.12e-17,1.21e-14
24,0.945,8.405,2.15e-17,1.22e-14
24,0.9821,8.399,2.26e-17,1.29e-14
24,0.9616,8.369,2.91e-17,1.66e-14
24,0.9815,8.331,4.01e-17,2.28e-14
24,0.8923,8.103,2.68e-16,1.52e-13
24,0.8983,8.098,2.8e-16,1.6e-13
24,0.8983,8.09,2.99e-16,1.7e-13
24,0.8983,8.078,3.28e-16,1.87e-13
24,0.8983,8.069,3.54e-16,2.02e-13
24,0.8983,8.005,5.96e-16,3.39e-13
24,0.9519,7.958,8.73e-16,4.97e-13
24,0.8804,7.751,4.55e-15,2.59e-12
24,0.7441,6.978,1.5e-12,8.53e-10
24,0.7441,6.904,2.52e-12,1.43e-9
25,0.9988,8.683,1.93e-18,1.1e-15
25,0.9436,8.314,4.63e-17,2.63e-14
25,0.9809,8.248,8.07e-17,4.59e-14
25,0.7293,7.491,3.42e-14,1.94e-11
26,0.9802,8.567,5.3e-18,3.02e-15
26,0.8863,8.324,4.24e-17,2.41e-14
26,0.9355,8.305,4.99e-17,2.84e-14
26,0.9261,8.193,1.27e-16,7.25e-14
26,0.9355,8.105,2.64e-16,1.5e-13
26,0.8914,8.091,2.95e-16,1.68e-13
26,0.6667,6.975,1.53e-12,8.72e-10
27,0.9082,8.488,1.05e-17,5.96e-15
27,0.9082,8.446,1.51e-17,8.56e-15
27,0.9082,8.078,3.29e-16,1.87e-13
27,0.8714,7.929,1.1e-15,6.26e-13
28,0.9461,8.387,2.49e-17,1.42e-14
28,0.9962,8.33,4.05e-17,2.31e-14
28,0.9282,8.325,4.21e-17,2.39e-14
28,0.8943,8.287,5.8e-17,3.3e-14
28,0.8773,8.279,6.21e-17,3.53e-14
28,0.931,8.258,7.43e-17,4.22e-14
28,0.8605,8.19,1.31e-16,7.43e-14
28,0.8943,8.122,2.3e-16,1.31e-13
28,0.8733,8.112,2.49e-16,1.42e-13
28,0.8645,8.064,3.68e-16,2.1e-13
28,0.8645,7.978,7.42e-16,4.22e-13
28,0.8703,7.786,3.46e-15,1.97e-12
28,0.8142,7.721,5.76e-15,3.28e-12
28,0.853,7.682,7.81e-15,4.44e-12
28,0.8238,7.55,2.18e-14,1.24e-11
28,0.8142,7.444,4.9e-14,2.79e-11
28,0.8142,7.425,5.65e-14,3.21e-11
29,0.9964,8.753,1.04e-18,5.89e-16
29,1,8.745,1.12e-18,6.37e-16
29,0.9817,8.742,1.15e-18,6.54e-16
29,1,8.737,1.2e-18,6.83e-16
29,1,8.691,1.8e-18,1.03e-15
29,1,8.657,2.43e-18,1.38e-15
29,0.9629,8.647,2.64e-18,1.5e-15
29,1,8.646,2.68e-18,1.52e-15
29,0.9962,8.642,2.76e-18,1.57e-15
29,0.9964,8.638,2.86e-18,1.63e-15
29,1,8.613,3.55e-18,2.02e-15
29,1,8.606,3.8e-18,2.16e-15
29,0.9811,8.58,4.75e-18,2.7e-15
29,1,8.554,5.95e-18,3.39e-15
29,0.9962,8.533,7.12e-18,4.05e-15
29,1,8.532,7.22e-18,4.11e-15
29,0.9811,8.515,8.35e-18,4.75e-15
29,1,8.487,1.06e-17,6.03e-15
29,1,8.485,1.07e-17,6.11e-15
29,0.9962,8.484,1.09e-17,6.21e-15
29,1,8.445,1.52e-17,8.65e-15
29,0.9964,8.441,1.57e-17,8.93e-15
29,0.997,8.438,1.61e-17,9.17e-15
29,1,8.432,1.69e-17,9.64e-15
29,1,8.427,1.77e-17,1.01e-14
29,1,8.416,1.95e-17,1.11e-14
29,1,8.38,2.64e-17,1.5e-14
29,1,8.369,2.91e-17,1.66e-14
29,1,8.36,3.14e-17,1.79e-14
29,0.9962,8.341,3.67e-17,2.09e-14
29,1,8.328,4.11e-17,2.34e-14
29,1,8.269,6.78e-17,3.86e-14
29,0.9273,8.242,8.49e-17,4.83e-14
29,0.9181,8.212,1.08e-16,6.17e-14
29,0.9181,8.206,1.14e-16,6.51e-14
29,0.8871,8.2,1.2e-16,6.81e-14
29,1,8.179,1.43e-16,8.13e-14
29,0.8476,8.082,3.18e-16,1.81e-13
29,0.8725,8.026,5.01e-16,2.85e-13
29,0.8748,8.022,5.22e-16,2.97e-13
29,0.8521,7.976,7.57e-16,4.31e-13
29,0.8026,7.816,2.74e-15,1.56e-12
29,0.8205,7.75,4.59e-15,2.61e-12
29,0.8593,7.682,7.82e-15,4.45e-12
30,0.9718,8.857,4.12e-19,2.34e-16
30,0.9745,8.685,1.89e-18,1.08e-15
30,0.9631,8.657,2.41e-18,1.37e-15
30,0.9278,8.625,3.21e-18,1.83e-15
30,0.9858,8.618,3.41e-18,1.94e-15
30,0.9278,8.612,3.58e-18,2.04e-15
30,0.9044,8.609,3.69e-18,2.1e-15
30,0.9459,8.592,4.26e-18,2.43e-15
30,0.9035,8.583,4.61e-18,2.62e-15
30,0.9369,8.578,4.81e-18,2.74e-15
30,0.9588,8.555,5.89e-18,3.35e-15
30,0.984,8.538,6.86e-18,3.9e-15
30,0.9718,8.533,7.1e-18,4.04e-15
30,0.894,8.527,7.52e-18,4.28e-15
30,0.9278,8.495,9.88e-18,5.62e-15
30,0.9631,8.493,1.01e-17,5.75e-15
30,0.9035,8.49,1.03e-17,5.88e-15
30,0.9647,8.485,1.08e-17,6.16e-15
30,0.947,8.48,1.13e-17,6.43e-15
30,0.959,8.466,1.27e-17,7.24e-15
30,0.9718,8.462,1.32e-17,7.5e-15
30,0.9883,8.458,1.35e-17,7.71e-15
30,0.9175,8.448,1.48e-17,8.41e-15
30,0.9745,8.444,1.53e-17,8.72e-15
30,0.9503,8.432,1.7e-17,9.65e-15
30,0.9035,8.429,1.74e-17,9.89e-15
30,0.9839,8.427,1.78e-17,1.01e-14
30,0.9101,8.424,1.82e-17,1.04e-14
30,0.9035,8.422,1.85e-17,1.05e-14
30,0.9718,8.397,2.29e-17,1.3e-14
30,0.947,8.371,2.86e-17,1.63e-14
30,0.9718,8.361,3.11e-17,1.77e-14
30,0.9631,8.353,3.33e-17,1.89e-14
30,0.8914,8.332,3.97e-17,2.26e-14
30,0.8633,8.33,4.03e-17,2.29e-14
30,0.9035,8.328,4.13e-17,2.35e-14
30,0.984,8.327,4.14e-17,2.35e-14
30,0.9035,8.32,4.39e-17,2.5e-14
30,0.9588,8.306,4.94e-17,2.81e-14
30,0.8876,8.295,5.42e-17,3.08e-14
30,0.9839,8.292,5.57e-17,3.17e-14
30,0.9175,8.284,5.97e-17,3.4e-14
30,0.9663,8.282,6.08e-17,3.46e-14
