stringId_A,stringId_B
ENSP00000221930,ENSP00000283249
ENSP00000221930,ENSP00000238682
ENSP00000221930,ENSP00000262158
ENSP00000221930,ENSP00000332973
ENSP00000221930,ENSP00000261023
ENSP00000221930,ENSP00000351905
ENSP00000221992,ENSP00000265016
ENSP00000221992,ENSP00000296350
ENSP00000221992,ENSP00000367202
ENSP00000221992,ENSP00000359085
ENSP00000221992,ENSP00000402584
ENSP00000221992,ENSP00000284240
ENSP00000222399,ENSP00000378856
ENSP00000222399,ENSP00000378431
ENSP00000222399,ENSP00000356515
ENSP00000222399,ENSP00000239462
ENSP00000222399,ENSP00000369677
ENSP00000222399,ENSP00000339328
ENSP00000222399,ENSP00000359077
ENSP00000222399,ENSP00000359085
ENSP00000222399,ENSP00000361850
ENSP00000222399,ENSP00000262407
ENSP00000222399,ENSP00000267082
ENSP00000222399,ENSP00000226218
ENSP00000222399,ENSP00000341189
ENSP00000222399,ENSP00000380227
ENSP00000222399,ENSP00000367316
ENSP00000222399,ENSP00000283249
ENSP00000222399,ENSP00000264741
ENSP00000222399,ENSP00000296585
ENSP00000222399,ENSP00000222573
ENSP00000222399,ENSP00000261023
ENSP00000222399,ENSP00000293379
ENSP00000222399,ENSP00000442600
ENSP00000222399,ENSP00000358310
ENSP00000222399,ENSP00000452786
ENSP00000222399,ENSP00000327290
ENSP00000222399,ENSP00000282588
ENSP00000222399,ENSP00000296181
ENSP00000222399,ENSP00000398632
ENSP00000222399,ENSP00000379350
ENSP00000222399,ENSP00000386896
ENSP00000222399,ENSP00000252999
ENSP00000222399,ENSP00000258341
ENSP00000222573,ENSP00000369677
ENSP00000222573,ENSP00000262407
ENSP00000222573,ENSP00000346300
ENSP00000222573,ENSP00000252699
ENSP00000222573,ENSP00000239462
ENSP00000222573,ENSP00000377941
ENSP00000222573,ENSP00000407685
ENSP00000222573,ENSP00000300574
ENSP00000222573,ENSP00000339191
ENSP00000222573,ENSP00000408695
ENSP00000222573,ENSP00000252999
ENSP00000222573,ENSP00000369889
ENSP00000222573,ENSP00000258341
ENSP00000222573,ENSP00000339730
ENSP00000222573,ENSP00000297268
ENSP00000222573,ENSP00000334008
ENSP00000222573,ENSP00000386896
ENSP00000222573,ENSP00000260356
ENSP00000222573,ENSP00000264741
ENSP00000222573,ENSP00000358866
ENSP00000222573,ENSP00000355896
ENSP00000222573,ENSP00000238682
ENSP00000222573,ENSP00000225964
ENSP00000222573,ENSP00000454623
ENSP00000222573,ENSP00000367316
ENSP00000222573,ENSP00000380948
ENSP00000222573,ENSP00000458162
ENSP00000222573,ENSP00000267082
ENSP00000222573,ENSP00000349252
ENSP00000222573,ENSP00000362680
ENSP00000222573,ENSP00000346839
ENSP00000222573,ENSP00000283249
ENSP00000222573,ENSP00000341189
ENSP00000222573,ENSP00000226218
ENSP00000222573,ENSP00000379350
ENSP00000222573,ENSP00000296181
ENSP00000222573,ENSP00000452786
ENSP00000222573,ENSP00000282588
ENSP00000222573,ENSP00000380227
ENSP00000222573,ENSP00000293379
ENSP00000222573,ENSP00000296585
ENSP00000222573,ENSP00000327290
ENSP00000222573,ENSP00000358310
ENSP00000222573,ENSP00000261023
ENSP00000223095,ENSP00000419465
ENSP00000223095,ENSP00000262158
ENSP00000223095,ENSP00000332973
ENSP00000223095,ENSP00000341551
ENSP00000223095,ENSP00000308938
ENSP00000223095,ENSP00000339328
ENSP00000223095,ENSP00000361850
ENSP00000223095,ENSP00000226218
ENSP00000225698,ENSP00000376475
ENSP00000225698,ENSP00000400175
ENSP00000225698,ENSP00000285735
ENSP00000225698,ENSP00000418915
ENSP00000225698,ENSP00000226218
ENSP00000225964,ENSP00000381949
ENSP00000225964,ENSP00000331544
ENSP00000225964,ENSP00000264741
ENSP00000225964,ENSP00000267082
ENSP00000225964,ENSP00000262407
ENSP00000225964,ENSP00000361818
ENSP00000225964,ENSP00000341189
ENSP00000225964,ENSP00000362776
ENSP00000225964,ENSP00000327801
ENSP00000225964,ENSP00000367316
ENSP00000225964,ENSP00000386896
ENSP00000225964,ENSP00000252599
ENSP00000225964,ENSP00000358310
ENSP00000225964,ENSP00000380227
ENSP00000225964,ENSP00000283249
ENSP00000225964,ENSP00000296181
ENSP00000225964,ENSP00000369889
ENSP00000225964,ENSP00000363840
ENSP00000225964,ENSP00000261023
ENSP00000225964,ENSP00000282588
ENSP00000225964,ENSP00000327290
ENSP00000225964,ENSP00000260356
ENSP00000225964,ENSP00000325527
ENSP00000225964,ENSP00000452786
ENSP00000225964,ENSP00000293379
ENSP00000225964,ENSP00000346839
ENSP00000225964,ENSP00000296585
ENSP00000225964,ENSP00000379350
ENSP00000225964,ENSP00000398632
ENSP00000225964,ENSP00000360882
ENSP00000225964,ENSP00000364000
ENSP00000225964,ENSP00000304408
ENSP00000225964,ENSP00000297268
ENSP00000226004,ENSP00000311005
ENSP00000226004,ENSP00000283228
ENSP00000226218,ENSP00000239462
ENSP00000226218,ENSP00000309953
ENSP00000226218,ENSP00000369677
ENSP00000226218,ENSP00000258341
ENSP00000226218,ENSP00000345008
ENSP00000226218,ENSP00000331544
ENSP00000226218,ENSP00000358310
ENSP00000226218,ENSP00000378431
ENSP00000226218,ENSP00000264741
ENSP00000226218,ENSP00000327290
ENSP00000226218,ENSP00000267082
ENSP00000226218,ENSP00000282588
ENSP00000226218,ENSP00000283249
ENSP00000226218,ENSP00000386896
ENSP00000226218,ENSP00000296585
ENSP00000226218,ENSP00000361818
ENSP00000226218,ENSP00000380227
ENSP00000226218,ENSP00000341189
ENSP00000226218,ENSP00000293379
ENSP00000226218,ENSP00000379350
ENSP00000226218,ENSP00000367316
ENSP00000226218,ENSP00000296181
ENSP00000226218,ENSP00000361850
ENSP00000226218,ENSP00000452786
ENSP00000226218,ENSP00000339328
ENSP00000226218,ENSP00000261023
ENSP00000226218,ENSP00000262407
ENSP00000226730,ENSP00000361965
ENSP00000226730,ENSP00000370698
ENSP00000226730,ENSP00000354532
ENSP00000226730,ENSP00000384273
ENSP00000226730,ENSP00000371067
ENSP00000226730,ENSP00000470788
ENSP00000226730,ENSP00000389326
ENSP00000226730,ENSP00000365380
ENSP00000226730,ENSP00000231449
ENSP00000228463,ENSP00000278927
ENSP00000228463,ENSP00000380948
ENSP00000228463,ENSP00000331736
ENSP00000228463,ENSP00000263686
ENSP00000228534,ENSP00000327801
ENSP00000228534,ENSP00000264657
ENSP00000228534,ENSP00000370698
ENSP00000228534,ENSP00000385675
